,name,geometry,probability
96,115214016,POINT (57826.843202182485 407063.76963138604),4.120428229059903e-06
97,413155020,POINT (206509.90592255705 377508.444418081),2.7141482851669716e-05
98,413155016,POINT (206525.23391935683 377532.19041779067),2.1358630503247158e-06
99,123253059,POINT (61614.81880309575 426565.5075766859),4.711566123963573e-06
100,123253006,POINT (61831.83160040515 426757.7695687426),0.0
101,126217033,POINT (63391.83783133913 408545.76940612216),2.8616655961224854e-06
102,127217031,POINT (63945.67237745107 408593.04338315985),7.820550981969566e-06
103,215457007,POINT (107522.81493295873 528979.61500916),1.2345044647863133e-05
104,215455028,POINT (107856.8400749958 527509.515006441),1.277127393312343e-05
105,481365048,POINT (240826.82558569743 482526.4358190117),3.755088323139539e-05
106,481365045,POINT (240883.31558916654 482501.2488172904),7.477822061899418e-06
107,290304051,POINT (145310.43983289265 452213.5007142869),0.0001095525697501886
108,290304050,POINT (145451.8788316889 452191.519709529),1.4512654073338627e-05
109,196328284,POINT (98419.31534837367 464101.4533587699),0.0
110,196328288,POINT (98181.04035044539 464092.97136679443),0.00014985370185403027
111,232377144,POINT (116289.04211671808 488652.0528349896),1.4331425871756599e-05
112,232377153,POINT (116304.81511765899 488652.1878344956),1.043727325337981e-05
113,234252138,POINT (117320.13229548355 426267.6044283732),0.00023699479856598087
114,234252157,POINT (117418.9322861096 426283.8554249628),3.912092240645071e-05
115,322231042,POINT (161028.60067535573 415558.248863739),1.760875827766148e-05
116,322231039,POINT (161385.7136787624 415719.2798545779),7.844219359857323e-05
117,292241110,POINT (146212.93389166097 420583.8723789491),4.6867083582385286e-05
118,292240068,POINT (146284.0698861628 420424.40137499553),5.28766125839458e-05
119,177188064,POINT (88872.28352001842 394239.4412419586),3.997195794673602e-05
120,177188233,POINT (88900.86050151431 394270.7132410315),1.7078791208755476e-05
121,331420055,POINT (165697.79840012992 510247.8472624698),8.98054397244528e-05
122,331421023,POINT (166023.33741488762 510717.7952509311),0.00010801566933440007
123,202260092,POINT (101050.7893660554 430032.3160606532),0.00013391158321093884
124,202260081,POINT (101200.00833931855 430048.7680552015),0.00025811899956377403
125,275194018,POINT (137582.07735741226 397000.2734412687),6.560564250438685e-05
126,275194023,POINT (137641.54435738202 397076.2504398619),1.0662727925005003e-05
127,363372029,POINT (181820.16699513615 486048.1457353633),0.0
128,363372032,POINT (181922.44499799295 486045.9397320746),1.2656130312097917e-05
129,303368002,POINT (151816.87971554737 484349.9446931755),7.129062510317814e-05
130,303368003,POINT (151769.12371797377 484437.3066949786),4.965386171766106e-06
131,335231124,POINT (167821.1046261998 415917.2396658432),3.1777341970462937e-06
132,335231123,POINT (167813.6076267564 415930.71666619356),2.994089476212682e-05
133,333361003,POINT (167009.90461745922 480696.9411953814),0.0
134,334361059,POINT (167029.11961396455 480569.6011943341),5.82015917855447e-06
135,398394047,POINT (199035.68571477538 497157.8591681132),9.711432115222076e-05
136,398394049,POINT (199065.71772475954 497244.1161669337),3.087788024302496e-05
137,62196010,POINT (31029.69409336008 398027.2797201306),3.291567041182076e-07
138,62196012,POINT (31032.517104990016 398010.50871990045),3.7678647531429854e-06
139,64187014,POINT (32315.7518890805 393831.146635226),1.7699064139181082e-06
140,64187005,POINT (32350.56985799335 393798.40563348547),1.9320128041814257e-06
141,208259070,POINT (104132.83086722913 429891.0479444552),9.297770446648135e-05
142,209260030,POINT (104519.79480252015 430013.96093111497),0.0001328865569097759
143,290223194,POINT (145018.90863707836 411929.6133299231),2.2849542374358778e-05
144,290223188,POINT (145404.82862885878 411810.7143161691),1.9975226660482315e-05
145,335524100,POINT (167981.17269314092 562052.6069376521),5.839412513525905e-06
146,335524073,POINT (168098.2006956705 562020.4699338633),4.767703955634501e-05
147,72182169,POINT (36307.881346552625 391084.77044265287),2.5173511298658526e-06
148,72182153,POINT (36360.9831833838 391168.80044104945),2.8257924349758366e-06
149,281201009,POINT (140587.03438152888 400993.2753736676),8.345232681789052e-06
